iter	RMSE
0	1.894920129
1	1.817610742
2	1.741444135
3	1.672739445
4	1.607389369
5	1.542449045
6	1.481808476
7	1.424250093
8	1.404433991
9	1.350419613
10	1.265450054
11	1.251253521
12	1.203290304
13	1.161365588
14	1.11959387
15	1.080998798
16	1.04386796
17	1.012154174
18	0.9793420117
19	0.9487502379
20	0.9188851621
21	0.21	0.7331422	0.8634774567
23	0.8383674142
24	0.8122272275
25	0.7909697125
26	0.7707193419
27	27	0.7462500028	28	0.7290410429	29	0.7101766130	0.6954602794
31	0.6802106008
32	0.6637941703
33	0.650717954
34	0.634	0.4985635	0.635	0.4876236	0.636	0.4773837	0.5992900209
38	38	38	0.4576534939	0.5661403196
40	0.5592190666441	0.5524144191442	42	0.4224304443	0.5370710323444	0.5279916832
45	0.5221143776
46	0.5168276815447	0.5092827216448	0.5037881137
49	0.4974092401
50	0.4894224795551	0.4846060287
52	0.4789482005
53	0.4736582388
54	0.4691970226
55	0.4614037405
56	0.4557443129
57	0.4503999564
5858	0.33198674559	0.4414788608
60	0.4349019627
61	0.4303188598
62	0.4253096716
63	0.4177525728
64	0.412058245365	0.4303754974
66	0.4252153152
67	0.4216626639
68	0.4184168193
69	0.4146056292
70	0.4115714095
71	0.409239119
72	0.4042260247
73	0.4015509762
74	0.3987817459
75	0.3935115048
76	0.3906069728
77	0.3873845972
78	0.3843418876
79	0.3816838741
80	0.3790514146
81	0.375341027
82	0.3736116804
83	0.3694473383
84	0.3670209944
85	85	0.3406379186	0.3622392766
87	0.3568992427
88	0.3553948764
89	0.3530366726
90	0.3515213205
91	0.3496402564
92	0.3465429005
93	0.3429910712
94	0.340213524
95	0.3380491348
96	0.3354205067
97	0.333511556
98	0.3314866169
99	0.3287376389
100	0.3276083292
101	0.324592396
102	0.3231450504
103	0.321661218
104	0.3205618842
105	0.3186818219
106	0.3168313833
107	0.3151842633
108	0.3119140936
109	0.3107116392
110	0.3092732292
111	0.3063436261
112	0.3046652814
113	0.3022989795
114	0.3007503868
115	0.29879291
116	0.2974027508
117	0.2942886865
118	0.2931290398
119	0.2920692297
120	0.2914767442
121	0.2902610777
122	0.2883648771
123	0.2872370159
124	0.2855364592
125	0.2846839037
126	0.2836534585
127	0.2823720377
128	0.2819110985
129	0.2813488624
130	0.2802717532
131	0.2796523582
132	0.2787209855
133	0.2776346442
134	0.2772138773
135	0.2749846604
136	0.2742758167
137	0.2733977486
138	0.272393808
139	0.2711369697
140	0.2706972543
141	0.2696174573
142	0.268644515
143	0.267943691
144	0.2671259069
145	0.2659057584
146	0.2653662358
147	0.2646983272
148	0.2642581899
149	0.2639367244
150	0.263040046
151	0.2619866606
152	0.2615255376
153	0.2609423628
154	0.2603278795
155	0.2593055662
156	0.2587402201
157	0.2579291804
158	0.2571327234
159	0.2564518968
160	0.2547809982
161	0.2543320232
162	0.2535631726
163	0.2531242653
164	0.2522835447
165	0.251465494
166	0.2495744798
167	0.2488474666
168	0.2482545462
169	0.2477333428
170	0.2470134521
171	0.2465626878
172	0.2457226658
173	0.2453508509
174	0.2447089501
175	0.2440770991
176	0.2432835598
177	0.2422412173
178	0.2416085292
179	0.2411421338
180	0.2403213704
181	0.2394221788
182	0.2391029905
183	0.2388632968
184	0.2384697427
185	0.2372632877
186	0.2369038774
187	0.2357518507
188	0.2351266496
189	0.2349149895
190	0.234263519
191	0.2338511465
192	0.2331179559
193	0.2327241566
194	0.2318584641
195	0.2315625688
196	0.2307516725
197	0.2302246308
198	0.2296525597
199	0.2292294004
200	0.2287585964
201	0.2284895807
202	0.2271413658
203	0.2266731202
204	0.226463369
205	0.2259439359
206	0.2252131984
207	0.2245987465
208	0.2241102608
209	0.2237063046
210	0.2227125735
211	0.2218770573
212	0.2210330711
213	0.2207523933
214	0.2199753169
215	0.2193925903
216	0.2190864678
217	0.218123437
218	0.2174401655
219	0.217084227
220	0.2166211732
221	0.2160085863
222	0.2156255084
223	0.2146739689
224	0.2138024136
225	0.2133033744
226	0.2129042117
227	0.2121776089
228	0.211923795
229	0.2111311576
230	0.2103484254
231	0.2098267177
232	0.2094219535
233	0.2087687074
234	0.2082453539
235	0.2078893212
236	0.2075574528
237	0.2071541646
238	0.2066540215
239	0.2064516632
240	0.2059109056
241	0.2055204309
242	0.2052144495
243	0.2050536979
244	0.2048071425
245	0.2045568368
246	0.2040164045
247	0.2036523688
248	0.2032447293
249	0.2029240354
250	0.2024329807
251	0.2017610559
252	0.2015242679
253	0.2012694058
254	0.2006694851
255	0.2001589727
256	0.1997529021
257	0.1992342909
258	0.1988888177
259	0.1985916985
260	0.1981435711
261	0.1977552015
262	0.1972632128
263	0.1970092081
264	0.1963943867
265	0.1960627113
266	0.1957559325
267	0.1953135592
268	0.1949694258
269	0.1946258582
270	0.1944969962
271	0.194157071
272	0.1936440968
273	0.1933650946
274	0.193018353
275	0.192782921
276	0.1924675473
277	0.192224486
278	0.1919584262
279	0.1917350867
280	0.1915142941
281	0.1913959329
282	0.1912543867
283	0.1910813377
284	0.1908911511
285	0.190656908
286	0.1903543527
287	0.189962347
288	0.1897908913
289	0.189479423
290	0.1892304253
291	0.1891009541
292	0.1888259329
293	0.1885971661
294	0.1881489611
295	0.1879536031
296	0.1874950052
297	0.1872565109
298	0.1871427184
299	0.1869464729
62511
