iter	Passed	Remaining
0	158	47462
1	165	24644
2	174	17287
3	189	14045
4	200	11803
5	204	10034
6	210	880477	218	79588	222	7208
9	230	6693
110	236	622211	242	5808
12	250	5532
13	255	5213
14	282	5362
15	285	5069
16	289	4811
17	295	4626
18	299	4430
19	302	4238
20	306	406521	295	3729
222	338	4072
23	345	3971
24	350	3854
25	355	3744
26	362	3665
227	368	3583228	373	3485229	384	345930	396	3443
31	400	3358
32	404	3269
33	410	321234	399	3024
35	402	2953
36	409	2907
337	434	299438	430	2878
339	455	2960440	461	2916441	466	286442	450	2693
443	495	2885
44	510	2893
45	514	2838
46	517	2785
47	521	2735
48	530	2715
49	534	2673
50	541	2645551	580	2766
52	583	2719
53	587	2674
54	592	2638
55	595	2596
56	599	2554
57	603	251958	593	2422
559	635	2540
60	643	2521
61	647	2484
62	651	2449
63	658	2427
64	662	23966665	655	2322666	659	2294667	676	2309668	680	2278669	691	2272770	695	2241771	699	2214772	708	2203
73	740	2262
74	745	2237
75	751	2214
76	756	2189
77	760	2164
78	764	2140
79	783	2154
80	788	2131
81	791	2104
82	795	2079
83	800	2058
84	805	203685	836	2080
886	827	2025
87	830	2001888	837	1985889	840	1962990	867	1992
91	872	1972
92	876	1950
93	879	1927
94	886	1913
95	891	1893
96	895	1874
97	910	1877
98	918	1864
99	921	1843
100	924	1822
101	934	1814
102	939	1797
103	944	1779
104	951	1767
105	969	1774
106	973	1755
107	976	1736
108	982	1722
109	987	1705
110	990	1687
111	994	1668
112	1000	1655
113	1025	1673
114	1033	1662
115	1059	1681
116	1069	1672
117	1073	1656
118	1079	1642
119	1084	1627
120	1108	1640
121	1116	1629
122	1124	1617
123	1131	1605
124	1134	1588
125	1137	1571
126	1142	1555
127	1147	1542
128	1152	1527
129	1156	1512
130	1170	1510
131	1183	1506
132	1188	1492
133	1200	1487
134	1205	1473
135	1211	1460
136	1215	1446
137	1219	1431
138	1222	1416
139	1228	1404
140	1244	1403
141	1255	1396
142	1262	1386
143	1267	1372
144	1271	1359
145	1278	1348
146	1282	1335
147	1311	1346
148	1315	1333
149	1319	1319
150	1322	1305
151	1326	1291
152	1330	1278
153	1334	1264
154	1340	1253
155	1358	1253
156	1361	1239
157	1364	1226
158	1367	1212
159	1374	1202
160	1378	1190
161	1383	1178
162	1389	1167
163	1406	1166
164	1428	1169
165	1433	1157
166	1439	1146
167	1443	1134
168	1448	1122
169	1453	1111
170	1487	1122
171	1492	1110
172	1495	1098
173	1499	1085
174	1504	1074
175	1508	1063
176	1513	1051
177	1526	1046
178	1537	1039
179	1545	1030
180	1550	1019
181	1555	1008
182	1561	998
183	1566	987
184	1574	978
185	1580	968
186	1592	962
187	1595	950
188	1601	940
189	1605	929
190	1610	919
191	1648	927
192	1653	916
193	1657	905
194	1661	894
195	1664	883
196	1669	872
197	1673	862
198	1678	851
199	1681	840
200	1686	830
201	1690	820
202	1694	809
203	1697	799
204	1701	788
205	1707	779
206	1711	769
207	1727	763
208	1730	753
209	1734	743
210	1758	741
211	1763	732
212	1771	723
213	1775	713
214	1779	703
215	1789	696
216	1794	686
217	1799	676
218	1816	671
219	1824	663
220	1831	654
221	1838	645
222	1842	636
223	1847	626
224	1852	617
225	1882	616
226	1887	606
227	1890	597
228	1894	587
229	1900	578
230	1907	569
231	1913	560
232	1938	557
233	1942	548
234	1949	539
235	1961	531
236	1966	522
237	1971	513
238	1983	506
239	1988	497
240	1996	488
241	2015	482
242	2020	474
243	2029	465
244	2034	456
245	2039	447
246	2046	439
247	2053	430
248	2061	422
249	2067	413
250	2075	405
251	2080	396
252	2085	387
253	2093	379
254	2099	370
255	2109	362
256	2114	353
257	2117	344
258	2125	336
259	2130	327
260	2135	319
261	2141	310
262	2145	301
263	2149	293
264	2152	284
265	2160	276
266	2165	267
267	2173	259
268	2178	251
269	2183	242
270	2197	235
271	2204	226
272	2209	218
273	2220	210
274	2226	202
275	2231	194
276	2239	185
277	2245	177
278	2254	169
279	2272	162
280	2278	154
281	2287	146
282	2293	137
283	2306	129
284	2312	121
285	2321	113
286	2327	105
287	2335	97
288	2341	89
289	2352	81
290	2357	72
291	2366	64
292	2371	56
293	2375	48
294	2383	40
295	2389	32
296	2399	24
297	2404	16
298	2408	8
299	2410	0
